"An error occurs geting payments.","Ocurrió un error obteniendo los planes de pago."
"Bank","Banco"
"Credit Card","Tarjeta"
"Detailed Information","Información Detallada"
"For Use ""Hd_Bccp"" as Payment Source declare the method model... you must.","For Use ""Hd_Bccp"" as Payment Source declare the method model... you must."
"Invalid Parameters","Parámetros Incorrectos"
"Invalid Payment Method","Método de Pago Incorrecto"
"Invalid Payment Plan.","Plan de Pagos no Válido"
"Loading Payments...","Cargando Planes..."
"Payments","Cuotas"
"Payment Surcharge","Costo de Financiación"
"Select Bank","Seleccionar Banco"
"Select Credit Card","Seleccionar Tarjeta de Crédito"
"Select Payment Plan","Seleccionar Plan de Pagos"
"Select Payments","Seleccionar Plan de Pagos"
"%s payment of %s. ","%s pago de %s. "
"%s payments of %s. ","%s pagos de %s. "
"(Surcharge %s)","(Interés %s)"
"The Payment Method ""%s"", is not supported","El método de pagos no esta soportado"
"Undefined Payment Method","Metodo de Pagos no Definido"
"Coefficient","Coeficiente"
"TNA","TNA"
"TEM","TEM"
"Action","Acción"
"Delete Payment","Eliminar Cuota"
"Delete","Eliminar"
"Asigned Credit Cards","Tarjetas de Crédito Asignadas"
"Credit Cards","Tarjetas de Crédito"
"Credit Card Relations","Relaciónes de Tarjeta de Crédito"
"Bank Information","Información del Banco"
"Name","Nombre"
"Reset","Deshacer"
"Reset Filter","Limpiar Filtros"
"Search","Buscar"
"Description","Descripción"
"Countries","Paises"
"Bank Codes Mapping","Mapeo de Códigos de Banco"
"""%s"" Code For %s","Código ""%s"" Para %s"
"Manage Banks","Gestionar Bancos"
"Credit Cards","Tarjetas de Crédito"
"Save Bank","Guardar Banco"
"Delete Bank","Eliminar Banco"
"Save and Continue Edit","Guardar y Continuar Editando"
"Back","Volver"
"Editing Bank ""%s""","Editando Banco: ""%s"""
"New Bank","Nuevo Banco"
"Add New Bank","Crear Nuevo Banco"
"Credit Card Information","Información de la Tarjeta"
"Credit Card Mapping Codes For %s","Mapeo de Códigos de la Tarjeta para %s"
"""%s"" Code For %s (%s)","Código ""%s"" Para %s (%s)"
"Credit Card Codes Mapping","Mapeo de Códigos de la Tarjeta "
"""%s"" Code For %s","Código ""%s"" Para %s"
"Add Payment","Agregar Cuota"
"Credit Card Payments Configuration - Default Values","Configuración de Cuotas - Valores por Defecto"
"Credit Card Payments Configuration","Configuración de Cuotas"
"Credit Card Payments Configuration For %s","Configuración de Cuotas Para %s"
"Available Payments For %s","Cuotas Disponibles Para %s"
"Manage Credit Cards","Gestionar Tarjetas"
"Save Credit Card","Guardar Tarjeta"
"Delete Credit Card","Eliminar Tarjeta"
"Editing Credit Card ""%s"" (ID: %s)","Editando Tarjeta: ""%s"" (ID: %s)"
"New Credit Card","Nueva Tarjeta de Crédito"
"Add New Credit Card","Crear Nueva Tarjeta de Crédito"
"Credit Card ID","ID de Tarjeta"
"Credit Card Name","Nombre de Tarjeta"
"Credit Card Description","Descripción de la Tarjeta"
"Country","País"
"The %s ""%s"" was successfully saved.","%s ""%s"" se guardó con correctamente."
"The %s ""%s"" was successfully removed.","%s ""%s"" se eliminó correctamente."
"Manage Payments","Gestionar Cuotas"
"Requested %s no longer exists.","El elemento solicitado (%s), ya no existe. "
"-- Unsopported Credit Card --","-- Tarjeta No Soportada --"
"-- Please Select --","-- Seleccionar --"
"-- Unsopported Country --","-- País No Soportado --"
"-- Unsopported Bank --","-- Banco No Soportado --"
"Duplicated Combination ""Credit Card / Country / Payments"" for ""%s / %s / %s""","Combinación Duplicada de ""Tarjeta / Pais / Cuotas"" para ""%s / %s / %s"""
"Default","Predeterminado"
"All Countries","Todos los Paises"
"per page","regístros por página"
"View","Mostrar"
"Payment Options","Opciones de Pago"
"Enable Support for multiple Countries","Activar Soporte para Múltiples Paises"
"Payment from Applicable Countries","Activar Soporte Para"
"Payment from Specific Countries","Específicar Pais/es"
"Payments Management","Administración de Pagos"
"Banks","Bancos"
"Promotion","Promoción"
"Promotions","Promociones"
"Promo Information","Información de la Promoción"
"Manage Promotions","Configurar Promociones"
"Promo Validity","Fechas de promoción"
"Delete Promo","Eliminar promoción"
"Save Promo","Guardar promoción"
"Editing Promo ""%s""","Editando Promoción ""%s"""
"Extended information about promo.","Descripción de promoción"
"Bank And Creditcard Options","Configuración de Bancos y Tarjetas de Crédito"
"You can use both: %s or %s or %s","Se puede utilizar: %s o %s o bien %s"
"Use 1 for flat payments, 1.15 for a 15% surcharge.","Utilizar 1 para pagos sin interes, 1.15 para un 15% de recargo".
"This value is used for communication purposes only.","Este campo es sólo comunicación"
"Bank Discount Percent","Porcentaje de descuento del banco"
"Bank Reimbursement Percent","Porcentaje de reintegro del banco"
"Reimbursement","Reintegro"
"Hasar - Payment Method - Promo Codes","Hasar - Método de pago - Código de Promociones"
"Hasar - Merchant Code","Hasar - Código de mercado"
"Hasar - Promotion Code","Hasar - Código de promoción"
"NPS . BCC - Payment Method - Promo Codes","NPS . BCC - Método de Pago - Código de Promociones"
"NPS . BCC - Merchant Code","NPS . BCC - Código de mercado"
"NPS . BCC - Promotion Code","NPS . BCC - Código de Promoción"
"Active From","Activo desde"
"Active To","Activo hasta"
"Start Hour","Hora de comienzo"
"End Hour","Hora de fin"
"Specific Days","Días de promoción"
"Yes","Sí"
"No","No"
"%s to %s","de %s a %s"
"Stores Support","Configuración de Tiendas"
"Countries Support","Configuración de Paises"
"Enable Country Support","Activar soporte para paises"
"Enable Store Support","Avtivar soporte para tiendas"
"Bank Discount Information","Descripción del descuento"
"Extended information about Bank Discount","Descripción detallada acerca del descuento"
"Bank ID","ID Banco" 
"Bank Name","Nombre de Banco"
"Bank Discount","Reintegro por Banco"
"Bank Description","Descripción del Banco"
"Store","Tienda"
"Stores","Tiendas"
"Specified","- Seleccionadas -"
"Applies to Any Store","Aplica a todas las tiendas"
"All","Todos"
"From:","Desde:"
"To:","Hasta:"
"Status","Estado"
"Active Hours","Activo Horarios"
"Promo ID","ID Promoción"
"Promo Name","Nombre de Promoción"
"Bank Description","Descripción del Banco"
"Merchant Code","Código de Cliente"
"Promotion Code","Código de Promoción"
"%s - Merchant Code","Código de Cliente"
"%s - Promotion Code","Código de Promoción"
"%s - Payment Method - Promo Codes","Método: ""%s"" - Códigos de Promoción"
"Active","Activada"
"Inactive","Desactivada"
"Add New Promo","Crear Nueva Promoción"
"From","de"
"To","a"
"Page","Página"
"of %s pages","de %s"
"Total %d records found","%d Resgistros Encontrados"
"All Stores","Todas las Tiendas"
"Payment Options - Creditcard","Opciones de Pago - Tarjeta"
"Payment Options - Bank","Opciones de Pago - Banco"
"Loading Banks","Cargando Bancos"
"Loading Credit Cards","Cargando Tarjetas"
"Loading Payments ...","Cargando Cuotas ..."
"Payments Plan Preview","Calculador de Cuotas"
"Available Payments","Cuotas Disponibles"
