"An error occurs during payment transaction.","Ocurrió un error procesando la transacción de pago."
"Debug Mode","Modo de Prueba"
"In ""Debug Mode"" some debug Messages are displayed in frontend.","En ""Modo de Prueba"" algunos mensajes de error pueden verse en el sitio."
"Invalid Order Status","Estado de pedido no válido"
"Invalid Payment Method","Método de pago no válido"
"Invalid Request","Requerimiento no válido"
"Order was canceled.","La orden fue cancelada"
"Payment transaction canceled by customer.","Transacción de pago cancelada por el usuario."
"Please Select","Seleccionar por Favor"
"Production","Producción",
"SOAP . Merchant ID","SOAP . ID Cliente"
"SOAP . Secret Key","SOAP . Código Secreto"
"SOAP Web Service","SOAP Web Service"
"SOAP WSDL Url","SOAP WSDL Url"
"Staging","Implementacion",
"Sandbox","Prueba",
"Title","Título",
"Enable","Activado",
"Active","Activo",
"Sort Order","Orden de Aparición"
"Unable to cancel, un-place order.","Imposible cancelar el pedido, aun no fue creado"
"Unable to connect with Payment Service.","No es posible conectar con el Servicio de Pagos."
"Unable to get redirect form data.","No es posible obtener la información del formulario."
"Unable to get transaction data.","No es posible obtener los datos de la transacción."
"Undefined Payment Method","Metodo de Pagos no Definido"
"Unable to connect with NPS.","No es posible conectar con NPS"
"NPS Conecction Error: No data received.","Error de conexión con NPS: No se recibieron Datos."
"Use %s Url","Utilizar URL de %s",
"NPS Pending Payment","Pago Pendiente"
"NPS Payment Canceled","Pago Cancelado"
"NPS Payment Review","Pago en Revisión"
"NPS Payment Review","Pago en Revisión"
"NPS Payment Review - Undefined Status","Pago en Revisión - Estado del Pago Desconocido."
"NPS Payment Processed","Pago Procesado"
"No Payment Received.","No se Recibio el Modelo de Pagos"
"No Payment Method Received.","No se recibió el Método de Pago"
"Invalid Payment Method Type.","Metodo de Pago Incorrecto"
"No Order Received.","No se recibió el Pedido."
"Invalid Checkout.","Checkout Invalido."
"Post Order Configurations","Auto Facturación"
"Enable Auto-Invoice","Activar Auto Facturación"
"Iframe Configuration","Configuración de Iframe"
"Enable Iframe Payment Support","Activar Ventana de Pago en Iframe"
"<strong>Iframe support must be enable in NPS.</strong>","<strong>El soporte de ventana de pago en iframe debe solicitarse previamente a NPS.</strong>"
"AVS Visa Argentina Configuration","Validacion de Datos de Domicilio - Visa Argentina"
"Enable AVS Visa Argentina","Activar Validación de Domicilio"
"<strong>Visa Argentina AVS Support must be enable in NPS.</strong>","<strong>El soporte para validación de datos de Visa Argentina debe solicitarse previamente a NPS. El formulario para completar estos datos se muestra en el paso de pago de NPS.</strong>",""
"Fraud Configuration","Evaluación de Riesgo"
"Enable Fraud Evaluation","Activar Evaluación de Fraude"
"Debug Tools","Herramientas de Debug"
"NPS - CC (Credit Cards)","NPS Tarjetas de Crédito"
"NPS - BCC (Banks and Credit Cards)","NPS Tarjetas de Crédito & Promos Bancarias"
