"%s was successfully added to your shopping cart.","%s fue añadido exitosamente a su carrito de compra."
"&laquo; Back to Billing Information","&laquo; Regresar a la Información de Facturación"
"&laquo; Back to Select Addresses","&laquo; Regresar a la Dirección Seleccionada"
"&laquo; Back to Shopping Cart","&laquo; Regresar al carrito de compra"
"* Required Fields","* Campos requeridos"
"Add New Address","Agregar Dirección Nueva"
"Add New Condition","Añadir condición nueva"
"Add to Cart","Comprar"
"Add to Compare","Comparar"
"Add to Wishlist","Agregar a la lista de deseos"
"Address","Direcciones"
"Address %s of %s","Dirección %s de %s"
"After adding a product redirect to shopping cart","Después de agregar el producto redirigir al carro de compras"
"Allow Guest Checkout","Permirit comprar a los clientes"
"Already registered?","¿Estás registrado?"
"An error occurred in the process of payment","Tu compra no fue procesada"
"Apply Coupon","Aplicar"
"Are you sure you would like to remove this item from the shopping cart?","¿Está seguro de querer eliminar este Artículo del carrito de compra?"
"Back","Regresar"
"LOGIN","Iniciá Sesión"
"Back to Shipping Information","Regresar a la información de envío"
"Based on your selection, you may be interested in the following items:","No te olvides"
"Billing Address","Información de Pago"
"Billing Information","Información de Pago"
"Billing Information - %s","Información de Facturación - %s"
"Can not add item to shopping cart","No puede agregar un artículo al carrito de compras"
"Can not apply coupon code.","No se puede aplicar un código de cupón."
"Can't open overview page","No se puede abrir la página general"
"Cancel Coupon","Cancelar cupón"
"Cannot remove item","No se puede quitar el artículo"
"Cannot update shopping cart","No se puede actualizar el carrito de compras"
"Card Verification Number Visual Reference","Número de verificación visual de la Tarjeta"
"Cart Subtotal:","Subtotal del carrito:"
"Change","Cambiar"
"Change Billing Address","Cambiar la dirección de cobro"
"Checkbox text","Checkbox texto"
"Checkout","Registro de Pago"
"Checkout Conditions","Condiciones de pago"
"Checkout Options","Opciones de Pago"
"Checkout Section","Sección de pago"
"Checkout Terms and Conditions","Condiciones y Términos de Pago"
"Checkout as Guest","Comprar como  invitado"
"Checkout as a Guest or Register","Comprar como invitado"
"Checkout Method","Iniciar Sesión o Registrarme"
"Checkout with Multiple Addresses","Comprar y pagar con múltiples direcciones"
"City","Ciudad"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Cliqué <a href=""%s"" onclick=""this.target='_blank'"">aquí para imprimir</a> una copia de su confirmación de pedido."
"Close","Cerrar"
"Company","Nº Tarjeta Club Idrogeno"
"Condition Name","Nombre de Condición"
"Condition was successfully deleted","La condición fue eliminada exitosamente"
"Condition was successfully saved","La condición fue guardada exitosamente"
"Configurable product image","Imagen del producto configurable"
"Confirm Password","Confirmar contraseña"
"Content","Contenido"
"Content Height","Altura del Contenido"
"Content Height (css)","Altura del Contenido (css)"
"Continue","Continuar"
"Continue Shopping","Seguir Comprando"
"Continue to Billing Information","Continuar con la información de cobro"
"Continue to Review Your Order","Continuar revisando su pedido"
"Continue to Shipping Information","Continuar con la información de compra"
"Country","País"
"Coupon code ""%s"" is not valid.","El código de cupón ""%s""  no es válido."
"Coupon code ""%s"" was applied.","El código del cupón ""%s"" fue aplicado exitosamente."
"Coupon code was canceled successfully.","El código de cupón fue cancelado satisfactoriamente."
"Create Billing Address","Crear dirección de cobro"
"Create Shipping Address","Crear direcciones de envío"
"Customer Address is not valid.","Customer Address is not valid."
"Data saving problem","Problema guardando los datos"
"Default Billing","Facturación Predeterminada"
"Default Shipping","Envío predeterminado"
"Delete Condition","Eliminar Condición"
"Details","Detalles"
"Disable Onepage Checkout","Inhabilitar unapágina de pago"
"Disabled","Inhabilitar"
"Discount Codes","Código de descuento"
"Display Cart Summary","Mostrar el resumen del carrito"
"Display Shopping Cart Sidebar","Mostrar barra lateral del carrito de compra"
"Display item quantities","Mostrar las cantidades de artículos"
"Display number of items in cart","Mostrar números de artículos en el carrito"
"Easy access to your order history and status","Acceso fácil a tu historial de pedidos y tu status"
"Edit","Editar"
"Edit Address","Modificar dirección"
"Edit Billing Address","Modificar dirección de cobro"
"Edit Items","Modificar Artículos"
"Edit item","Modificar Artículo"
"Edit Shipping Address","Modificar Dirección de Envíos"
"Edit Terms and Conditions","Modificar Condiciones y Términos"
"Edit Your Cart","Modificá tu carrito"
"Email Address","Email"
"Enable Terms and?Conditions","Habilitar Condiciones y Términos"
"Enabled","Habilitar"
"Enter a New Address","Ingrese una nueva dirección"
"Enter your coupon code if you have one.","Ingresá tu código de descuento."
"Enter your coupon code:","Ingresá tu código de descuento:"
"Enter your destination to get a shipping estimate.","Ingrese su destino para obtener un estimado del envío."
"Error while deleting this condition. Please try again later.","Ha ocurrido un error mientra se eliminaba esta condición. Intentelo más tarde por favor."
"Error while saving this condition. Please try again later.","Ha ocurrido un error mientra se guardaba esta condición. Intentelo más tarde por favor."
"Estimate Shipping and Tax","Estimado de envío"
"Excl. Tax","Excl. Impuestos"
"Fast and easy check out","Compra fácil y rápida"
"Fax","Fax"
"Forgot an Item?","¿Olvidaste algún artículo?"
"Forgot your password?","¿Olvidaste tú  contraseña?"
"Forgot Password?","¿Olvidaste tú  contraseña?"
"Get a Quote","Obtenga una cotización"
"Grand Total:","Gran Total:"
"Grouped product image","Imagen de producto agrupado"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Incl. Impuestos"
"Invalid data","Datos inválidos"
"Invalid email address ""%s""","Dirección de Email inválida ""%s"""
"Invalid shipping method.","Método de envío inválido."
"Items","Artículos"
"Load customer quote error","Error al cargar cotización del cliente"
"Loading next step...","Cargando el siguiente paso..."
"Login","Iniciar sesión"
"Login to your Account","Si preferís, usando tu dirección de email"
